Departamento,2021,2022,2023
Amazonas,"28,0","33,7","33,7"
Áncash,"29,2","35,8","29,3"
Apurímac,"38,4","39,8","42,9"
Arequipa,"27,3","24,3","26,5"
Ayacucho,"35,8","40,2","41,0"
Cajamarca,"23,9","27,0","25,8"
Prov. Const. del Callao,"20,6","27,5","28,3"
Cusco,"40,8","44,5","43,6"
Huancavelica,"45,1","52,5","47,7"
Huánuco,"29,6","40,6","38,4"
Ica,"25,0","24,9","28,6"
Junín,"33,7","36,3","38,1"
La Libertad,"25,3","28,4","29,0"
Lambayeque,"24,8","26,2","25,8"
Lima,"19,3","25,9","27,2"
Loreto,"44,2","55,5","48,3"
Madre de Dios,"44,1","49,4","44,6"
Moquegua,"24,6","20,3","25,7"
Pasco,"39,0","45,2","43,0"
Piura,"25,1","28,3","29,8"
Puno,"54,7","57,9","62,6"
San Martín,"29,4","37,3","31,5"
Tacna,"18,0","21,1","27,1"
Tumbes,"30,4","31,9","34,7"
Ucayali,"48,4","57,5","48,6"
