Departamento,2021,2022,2023
Amazonas,599,611,630
Áncash,559,572,579
Apurímac,514,535,561
Arequipa,913,940,940
Ayacucho,509,536,572
Cajamarca,1 206,1216,1253
Prov. Const. del Callao,743,772,773
Cusco,1 001,1036,1080
Huancavelica,468,471,473
Huánuco,404,406,416
Ica,339,352,390
Junín,962,962,976
La Libertad,622,626,612
Lambayeque,543,554,566
Lima,7 901,7 260,8 406
Loreto,656,686,733
Madre de Dios,177,175,195
Moquegua,124,128,129
Pasco,322,331,326
Piura,1 091,1135,1188
Puno,690,695,693
San Martín,546,561,599
Tacna,427,428,430
Tumbes,88,88,92
Ucayali,279,288,289
