Departamento,2021,2022,2023
Amazonas,"98,476,526",18773635,"120,064,820"
Áncash,87342115,21531755,"85,582,074"
Apurímac,133074761,76634579,"138,752,277"
Arequipa,93784064,39985134,"89,530,705"
Ayacucho,100421034,44906448,"119,031,355"
Cajamarca,166537923,72826595,"154,756,376"
Prov. Const. del Callao,"44,442,541",8675866,"40,301,773"
Cusco,126261589,97780151,"164,563,644"
Huancavelica,106631324,29142171,"129,095,075"
Huánuco,135451606,47244486,"141,615,942"
Ica,54828924,18977491,"63,223,144"
Junín,104139197,39133348,"130,023,976"
La Libertad,142681792,31828434,"127,468,263"
Lambayeque,64391332,21290257,"67,041,616"
Lima,577231193,136827702,"561,851,035"
Loreto,91768050,33352417,"81,790,099"
Madre de Dios,16616842,22466083,"20,849,690"
Moquegua,19386038,1947260,"24,437,008"
Pasco,31603362,"5,834,690","38,996,058"
Piura,178878749,109965993,"145,235,396"
Puno,116546653,53583551,"149,327,948"
San Martín,72326585,27276597,"71,330,491"
Tacna,38262617,19741284,"51,788,647"
Tumbes,27342184,8837060,"33,878,356"
Ucayali,77365122,24342494,"76,509,355"
